matchup,matchup_short,season,season_type,season_slug,game_id,game_uid,game_date,attendance,status_name,broadcast_market,broadcast_name,tournament_id,start_date,home_team_name,home_team_logo,home_team_abb,home_team_id,home_team_location,home_team_full_name,home_team_color,home_score,home_win,home_record,away_team_name,away_team_logo,away_team_abb,away_team_id,away_team_location,away_team_full_name,away_team_color,away_score,away_win,away_record
Indiana State Sycamores at South Carolina Upstate Spartans,INST @ UPST,2023,3,post-season,401526940,s:40~l:41~e:401526940~c:401526940,2023-03-18T15:00Z,0,STATUS_FINAL,NA,NA,11,2023-03-18T15:00Z,Spartans,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png,UPST,2908,South Carolina Upstate,South Carolina Upstate Spartans,008545,62,0,16-16,Sycamores,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,INST,282,Indiana State,Indiana State Sycamores,00669a,67,1,23-12
Southern Utah Thunderbirds at North Alabama Lions,SUU @ UNA,2023,3,post-season,401526942,s:40~l:41~e:401526942~c:401526942,2023-03-18T17:00Z,0,STATUS_FINAL,NA,NA,11,2023-03-18T17:00Z,Lions,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,UNA,2453,North Alabama,North Alabama Lions,663399,50,0,18-15,Thunderbirds,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,SUU,253,Southern Utah,Southern Utah Thunderbirds,c72026,72,1,23-12
San José State Spartans at Southern Indiana Screaming Eagles,SJSU @ USI,2023,3,post-season,401526943,s:40~l:41~e:401526943~c:401526943,2023-03-18T19:30Z,0,STATUS_FINAL,NA,NA,11,2023-03-18T19:30Z,Screaming Eagles,https://a.espncdn.com/i/teamlogos/ncaa/500/88.png,USI,88,Southern Indiana,Southern Indiana Screaming Eagles,NA,52,0,16-17,Spartans,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,SJSU,23,San José State,San José State Spartans,005893,77,1,21-13
Charlotte 49ers at Western Carolina Catamounts,CHAR @ WCU,2023,3,post-season,401526946,s:40~l:41~e:401526946~c:401526946,2023-03-18T21:40Z,876,STATUS_FINAL,NA,NA,11,2023-03-18T21:40Z,Catamounts,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,WCU,2717,Western Carolina,Western Carolina Catamounts,492F91,56,0,18-16,49ers,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,CHAR,2429,Charlotte,Charlotte 49ers,ffffff,65,1,19-14
Cleveland State Vikings at Eastern Kentucky Colonels,CLEV @ EKU,2023,3,post-season,401526949,s:40~l:41~e:401526949~c:401526949,2023-03-19T15:00Z,0,STATUS_FINAL,NA,NA,11,2023-03-19T15:00Z,Colonels,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,EKU,2198,Eastern Kentucky,Eastern Kentucky Colonels,660819,91,1,21-13,Vikings,https://a.espncdn.com/i/teamlogos/ncaa/500/325.png,CLEV,325,Cleveland State,Cleveland State Vikings,006633,75,0,21-14
Duquesne Dukes at Rice Owls,DUQ @ RICE,2023,3,post-season,401526951,s:40~l:41~e:401526951~c:401526951,2023-03-19T17:30Z,0,STATUS_FINAL,NA,NA,11,2023-03-19T17:30Z,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,RICE,242,Rice,Rice Owls,d1d5d8,84,1,19-15,Dukes,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,DUQ,2184,Duquesne,Duquesne Dukes,002D62,78,0,20-13
Tarleton Texans at Radford Highlanders,TAR @ RAD,2023,3,post-season,401526954,s:40~l:41~e:401526954~c:401526954,2023-03-19T19:50Z,0,STATUS_FINAL,NA,NA,11,2023-03-19T19:50Z,Highlanders,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,RAD,2515,Radford,Radford Highlanders,BC1515,72,1,20-14,Texans,https://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,TAR,2627,Tarleton,Tarleton Texans,000000,70,0,17-17
Stetson Hatters at Milwaukee Panthers,STET @ MILW,2023,3,post-season,401526956,s:40~l:41~e:401526956~c:401526956,2023-03-19T22:30Z,922,STATUS_FINAL,NA,NA,11,2023-03-19T22:30Z,Panthers,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,MILW,270,Milwaukee,Milwaukee Panthers,000000,87,1,22-11,Hatters,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,STET,56,Stetson,Stetson Hatters,0a5640,83,0,17-14
Indiana State Sycamores at Eastern Kentucky Colonels,INST @ EKU,2023,3,post-season,401526959,s:40~l:41~e:401526959~c:401526959,2023-03-20T16:00Z,0,STATUS_FINAL,NA,NA,11,2023-03-20T16:00Z,Colonels,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,EKU,2198,Eastern Kentucky,Eastern Kentucky Colonels,660819,89,1,22-13,Sycamores,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,INST,282,Indiana State,Indiana State Sycamores,00669a,88,0,23-13
Southern Utah Thunderbirds at Rice Owls,SUU @ RICE,2023,3,post-season,401526961,s:40~l:41~e:401526961~c:401526961,2023-03-20T18:31Z,0,STATUS_FINAL,NA,NA,11,2023-03-20T18:31Z,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,RICE,242,Rice,Rice Owls,d1d5d8,79,0,19-16,Thunderbirds,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,SUU,253,Southern Utah,Southern Utah Thunderbirds,c72026,81,1,24-12
San José State Spartans at Radford Highlanders,SJSU @ RAD,2023,3,post-season,401526963,s:40~l:41~e:401526963~c:401526963,2023-03-20T20:45Z,0,STATUS_FINAL,NA,NA,11,2023-03-20T20:45Z,Highlanders,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,RAD,2515,Radford,Radford Highlanders,BC1515,67,1,21-14,Spartans,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,SJSU,23,San José State,San José State Spartans,005893,57,0,21-14
